# tracer: nop
#
# entries-in-buffer/entries-written: 9917/9917   #P:4
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
            bash-2479  [005] dn.4    98.434289: sched_wakeup: comm=migration/5 pid=33 prio=0 target_cpu=005
            bash-2479  [005] d..3    98.434294: sched_switch: prev_comm=bash prev_pid=2479 prev_prio=120 prev_state=R+ ==> next_comm=migration/5 next_pid=33 next_prio=0
          <idle>-0     [003] d..3    98.434307: sched_switch: prev_comm=swapper/3 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=bash next_pid=2479 next_prio=120
     migration/5-33    [005] d..3    98.434314: sched_switch: prev_comm=migration/5 prev_pid=33 prev_prio=0 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
            bash-2479  [003] d..3    98.434553: sched_wakeup_new: comm=bash pid=2705 prio=120 target_cpu=003
            bash-2479  [003] d..3    98.435010: sched_wakeup_new: comm=bash pid=2706 prio=120 target_cpu=003
            bash-2479  [003] d..3    98.435584: sched_wakeup_new: comm=bash pid=2707 prio=120 target_cpu=003
            bash-2479  [003] d..3    98.435862: sched_switch: prev_comm=bash prev_pid=2479 prev_prio=120 prev_state=S ==> next_comm=bash next_pid=2707 next_prio=120
           tau_3-2707  [003] d..4    98.437030: sched_wakeup: comm=kworker/u12:1 pid=55 prio=120 target_cpu=000
          <idle>-0     [000] d..3    98.437038: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kworker/u12:1 next_pid=55 next_prio=120
   kworker/u12:1-55    [000] d..4    98.437048: sched_wakeup: comm=gnome-terminal- pid=2435 prio=120 target_cpu=004
          <idle>-0     [004] d..3    98.437050: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=gnome-terminal- next_pid=2435 next_prio=120
   kworker/u12:1-55    [000] d..3    98.437062: sched_switch: prev_comm=kworker/u12:1 prev_pid=55 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
